iter	MAE
0	0.5937073281
1	0.5910413511
2	0.5883778467
3	0.5857491773
4	0.5830868795
5	0.5805434792
6	0.5779705449
7	0.5753771089
8	0.5729351631
9	0.5703568528
10	0.5679184877
11	0.5654669187
12	0.5630211827
13	0.5606373522
14	0.558285046
15	0.5560601322
16	0.5538353278
17	0.5516354087
18	0.5494107604
19	0.5471926164
20	0.5450662475
21	0.5429329479
22	0.5408321202
23	0.5388388972
24	0.5368486314
25	0.5348025221
26	0.5328130871
27	0.5308763548
28	0.5289503475
29	0.5270770748
30	0.5252296908
31	0.5233928404
32	0.5215588886
33	0.5197325801
34	0.517973785
35	0.5162853111
36	0.514580648
37	0.5129264579
38	0.5112771023
39	0.5095628073
40	0.5079154008
41	0.5063336558
42	0.5047311354
43	0.5031256788
44	0.5015922295
45	0.5001044207
46	0.4985970532
47	0.4971067416
48	0.4956409175
49	0.4942419087
50	0.4928510001
51	0.4914697928
52	0.4900971631
53	0.4887075935
54	0.4874082627
55	0.4860694532
56	0.4847079705
57	0.4834045539
58	0.4821479825
59	0.4809514834
60	0.4797568778
61	0.4785328598
62	0.4773080341
63	0.476128275
64	0.4750061866
65	0.473880191
66	0.4727891484
67	0.4717003868
68	0.4705937092
69	0.4694686553
70	0.4684156478
71	0.4673782886
72	0.466327124
73	0.4652997343
74	0.4642429783
75	0.4632387684
76	0.4622892404
77	0.4613423547
78	0.4603696373
79	0.4593791113
80	0.4584890311
81	0.4575165747
82	0.4565928024
83	0.4557190792
84	0.4548628695
85	0.4540225145
86	0.4531179612
87	0.4522412319
88	0.4514098261
89	0.4505789023
90	0.4497780309
91	0.4489837579
92	0.4481445915
93	0.4473931653
94	0.4465618942
95	0.4457880503
96	0.4450228132
97	0.4442916456
98	0.443579392
99	0.4428182058
100	0.4420346355
101	0.4413416938
102	0.4406519633
103	0.4399762961
104	0.4393191797
105	0.4386311962
106	0.4379500497
107	0.4372542778
108	0.4365778775
109	0.4359362033
110	0.4352891982
111	0.4346450825
112	0.4340130969
113	0.4334065858
114	0.4328294118
115	0.432184158
116	0.4316239777
117	0.4310302205
118	0.4304725954
119	0.4298409965
120	0.4292461657
121	0.4287138747
122	0.4281470717
123	0.4275737491
124	0.4270004125
125	0.4264718871
126	0.4259661939
127	0.4253835154
128	0.4248704228
129	0.4243185868
130	0.4237997376
131	0.4232920418
132	0.4227581277
133	0.4222466634
134	0.4217458065
135	0.4212456894
136	0.4207827518
137	0.4202942109
138	0.4197992959
139	0.4193078652
140	0.4188498163
141	0.4183980132
142	0.4179519079
143	0.4175068028
144	0.4170583683
145	0.4166614888
146	0.4162427473
147	0.415824191
148	0.415412455
149	0.4149831321
150	0.41454644
151	0.4141214716
152	0.4137363353
153	0.4133293573
154	0.4129391794
155	0.412531549
156	0.4121310028
157	0.4117591911
158	0.4114259645
159	0.4110318886
160	0.4106755699
161	0.4103101774
162	0.4099649424
163	0.4096253555
164	0.4092504807
165	0.4088919249
166	0.4085428634
167	0.4081989058
168	0.4078486066
169	0.4074964086
170	0.4071528227
171	0.4068432615
172	0.4065153681
173	0.406201048
174	0.40588023
175	0.4055435845
176	0.4052170864
177	0.4048914967
178	0.4046087621
179	0.4042978441
180	0.4039465004
181	0.4036307542
182	0.4033268369
183	0.4030461327
184	0.4027575412
185	0.4024592367
186	0.4021825461
187	0.4019006647
188	0.4016222655
189	0.4013541375
190	0.4010767117
191	0.4008015488
192	0.4005144081
193	0.4002495475
194	0.400008583
195	0.3997153892
196	0.3994568498
197	0.3992062953
198	0.3989368871
199	0.3986814394
200	0.3984159907
201	0.3981455114
202	0.3979089246
203	0.3976744676
204	0.3974312071
205	0.3972016519
206	0.3969985803
207	0.396750108
208	0.3964903582
209	0.3962838741
210	0.3960702072
211	0.395837794
212	0.3955987963
213	0.3953879723
214	0.395183992
215	0.394966785
216	0.3947379575
217	0.3945221025
218	0.3943025801
219	0.3941060527
220	0.3938832889
221	0.3936878784
222	0.3935089716
223	0.3932985746
224	0.3931214504
225	0.3929404538
226	0.392742071
227	0.3925512471
228	0.3923509781
229	0.3921608669
230	0.3919786701
231	0.391797449
232	0.3916143904
233	0.3914320065
234	0.3912430938
235	0.3910468194
236	0.3908886311
237	0.3907087134
238	0.3905465211
239	0.3903887189
240	0.3901982542
241	0.3900253694
242	0.3898657819
243	0.3896853656
244	0.389524353
245	0.3893475818
246	0.3891900476
247	0.3890332468
248	0.3889032932
249	0.388762422
250	0.388590419
251	0.3884493312
252	0.388272287
253	0.3881260115
254	0.3879786685
255	0.3878208437
256	0.3876638535
257	0.3875085153
258	0.3873355819
259	0.3871945515
260	0.3870431691
261	0.3868917152
262	0.3867505537
263	0.3866224439
264	0.3864665578
265	0.3863086986
266	0.3861687516
267	0.3860173105
268	0.3858672512
269	0.3857245807
270	0.3856000801
271	0.3854725544
272	0.3853300233
273	0.3851984369
274	0.3850724198
275	0.3849189612
276	0.3847856562
