iter	Passed	Remaining
0	660	660336
1	1461	729256
2	1969	654676
3	2551	635440
4	2952	587472
5	3350	555036
6	3798	538868
7	4230	524523
8	4663	513486
9	5185	513365
10	5626	505829
11	6109	502988
12	6814	517346
13	7402	521362
14	7992	524813
15	8551	525895
16	9281	536708
17	9845	537144
18	10436	538862
19	11063	542102
20	11602	540910
21	12156	540400
22	12774	542625
23	13322	541771
24	13787	537731
25	14417	540100
26	14990	540217
27	15603	541659
28	16091	538797
29	16565	535620
30	17004	531521
31	17473	528579
32	17919	525097
33	18394	522631
34	18788	518031
35	19239	515200
36	19656	511590
37	20103	508939
38	20587	507304
39	21054	505310
40	21507	503065
41	21911	499779
42	22395	498433
43	22790	495175
44	23225	492902
45	23517	487742
46	23912	484864
47	24391	483770
48	24867	482642
49	25359	481831
50	25848	480978
51	26333	480077
52	26859	479929
53	27303	478325
54	27487	472283
55	27984	471737
56	28489	471324
57	28950	470202
58	29463	469918
59	30034	470535
60	30484	469260
61	30946	468197
62	31200	464048
63	31702	463644
64	32119	462021
65	32633	461818
66	33087	460753
67	33547	459795
68	33984	458542
69	34513	458538
70	34971	457588
71	35478	457279
72	35955	456590
73	36468	456349
74	36967	455936
75	37455	455381
76	37924	454599
77	38398	453890
78	38809	452447
79	39362	452667
80	39873	452397
81	40217	450237
82	40735	450053
83	41191	449187
84	41631	448154
85	42137	447832
86	42622	447290
87	43129	446980
88	43592	446213
89	44047	445366
90	44492	444431
91	44916	443301
92	45380	442585
93	45805	441485
94	46356	441603
95	46829	440974
96	47308	440408
97	47756	439551
98	48199	438663
99	48705	438350
100	49190	437848
101	49687	437445
102	50122	436502
103	50605	435983
104	51087	435464
105	51545	434735
106	51995	433943
107	52444	433153
108	52928	432654
109	53382	431915
110	53866	431413
111	54372	431097
112	54853	430575
113	55335	430066
114	55845	429768
115	56367	429562
116	56814	428778
117	57269	428065
118	57761	427632
119	58200	426800
120	58717	426554
121	59176	425879
122	59601	424966
123	60087	424490
124	60609	424268
125	61051	423483
126	61479	422613
127	61965	422137
128	62486	421903
129	62983	421505
130	63405	420605
131	63864	419954
132	64330	419359
133	64819	418911
134	65293	418361
135	65829	418209
136	66388	418200
137	66874	417723
138	67281	416760
139	67707	415918
140	68126	415037
141	68590	414439
142	69067	413919
143	69445	412816
144	69988	412692
145	70483	412279
146	70954	411727
147	71393	410993
148	71909	410705
149	72413	410344
150	72869	409708
151	73309	408988
152	73766	408366
153	74256	407930
154	74782	407683
155	75212	406918
156	75652	406211
157	76129	405701
158	76607	405198
159	77041	404466
160	77587	404324
161	78054	403765
162	78572	403466
163	78969	402553
164	79468	402157
165	79965	401752
166	80452	401301
167	80861	400455
168	81336	399944
169	81740	399086
170	82203	398519
171	82726	398239
172	83205	397752
173	83576	396750
174	84035	396165
175	84526	395737
176	84986	395163
177	85492	394800
178	85931	394130
179	86493	394026
180	86957	393472
181	87405	392842
182	87846	392188
183	88403	392050
184	88861	391470
185	89348	391021
186	89842	390600
187	90380	390368
188	90865	389902
189	91353	389455
190	91807	388858
191	92341	388603
192	92779	387944
193	93279	387544
194	93715	386876
195	94164	386265
196	94629	385725
197	95053	385014
